"relevance.w","endog.w","bayeslike.FMSC.correct.cover"
0,0,0.9271
0.1,0,0.9328
0.2,0,0.9466
0.3,0,0.9483
0.4,0,0.9491
0.5,0,0.9474
0.6,0,0.9439
0.7,0,0.9433
0.8,0,0.9443
0.9,0,0.9454
1,0,0.9453
1.1,0,0.9485
1.2,0,0.9492
1.3,0,0.9488
0,0.05,0.9221
0.1,0.05,0.9111
0.2,0.05,0.9253
0.3,0.05,0.9466
0.4,0.05,0.9518
0.5,0.05,0.9489
0.6,0.05,0.9425
0.7,0.05,0.9448
0.8,0.05,0.9419
0.9,0.05,0.9389
1,0.05,0.9363
1.1,0.05,0.9373
1.2,0.05,0.9368
1.3,0.05,0.9426
0,0.1,0.9287
0.1,0.1,0.8978
0.2,0.1,0.865
0.3,0.1,0.8973
0.4,0.1,0.9324
0.5,0.1,0.9476
0.6,0.1,0.9524
0.7,0.1,0.9502
0.8,0.1,0.9478
0.9,0.1,0.9449
1,0.1,0.9444
1.1,0.1,0.9417
1.2,0.1,0.9447
1.3,0.1,0.9414
0,0.15,0.9288
0.1,0.15,0.9159
0.2,0.15,0.8683
0.3,0.15,0.8366
0.4,0.15,0.8674
0.5,0.15,0.9148
0.6,0.15,0.9423
0.7,0.15,0.9556
0.8,0.15,0.9581
0.9,0.15,0.9565
1,0.15,0.9515
1.1,0.15,0.9516
1.2,0.15,0.9562
1.3,0.15,0.9523
0,0.2,0.931
0.1,0.2,0.9235
0.2,0.2,0.9142
0.3,0.2,0.8626
0.4,0.2,0.8172
0.5,0.2,0.8472
0.6,0.2,0.8965
0.7,0.2,0.9298
0.8,0.2,0.9531
0.9,0.2,0.9586
1,0.2,0.9574
1.1,0.2,0.9631
1.2,0.2,0.9609
1.3,0.2,0.9611
0,0.25,0.9326
0.1,0.25,0.9248
0.2,0.25,0.9289
0.3,0.25,0.9057
0.4,0.25,0.8545
0.5,0.25,0.8229
0.6,0.25,0.8373
0.7,0.25,0.8676
0.8,0.25,0.9112
0.9,0.25,0.9361
1,0.25,0.9497
1.1,0.25,0.9616
1.2,0.25,0.967
1.3,0.25,0.9658
0,0.3,0.9326
0.1,0.3,0.9315
0.2,0.3,0.9446
0.3,0.3,0.9367
0.4,0.3,0.8998
0.5,0.3,0.8464
0.6,0.3,0.8196
0.7,0.3,0.8281
0.8,0.3,0.8562
0.9,0.3,0.8971
1,0.3,0.9173
1.1,0.3,0.9392
1.2,0.3,0.9542
1.3,0.3,0.9654
0,0.35,0.9343
0.1,0.35,0.9371
0.2,0.35,0.9551
0.3,0.35,0.9534
0.4,0.35,0.931
0.5,0.35,0.8834
0.6,0.35,0.85
0.7,0.35,0.8238
0.8,0.35,0.8256
0.9,0.35,0.8519
1,0.35,0.8881
1.1,0.35,0.9118
1.2,0.35,0.9333
1.3,0.35,0.9442
0,0.4,0.9381
0.1,0.4,0.9477
0.2,0.4,0.9649
0.3,0.4,0.9671
0.4,0.4,0.9454
0.5,0.4,0.9162
0.6,0.4,0.8832
0.7,0.4,0.8527
0.8,0.4,0.8296
0.9,0.4,0.8335
1,0.4,0.8498
1.1,0.4,0.8759
1.2,0.4,0.9055
1.3,0.4,0.9222
