"relevance.w","endog.w","RMSE","RMSE1","COVERAGE","COVERAGE1","FMSC.BIAS","FMSC.RMSE","FMSC.COVERAGE","FMSC.CORRECT","GMM.BIC.BIAS","GMM.BIC.RMSE","GMM.BIC.COVERAGE","GMM.BIC.CORRECT","GMM.AIC.BIAS","GMM.AIC.RMSE","GMM.AIC.COVERAGE","GMM.AIC.CORRECT","GMM.HQ.BIAS","GMM.HQ.RMSE","GMM.HQ.COVERAGE","GMM.HQ.CORRECT","CC.BIC.BIAS","CC.BIC.RMSE","CC.BIC.COVERAGE","CC.BIC.CORRECT","CC.AIC.BIAS","CC.AIC.RMSE","CC.AIC.COVERAGE","CC.AIC.CORRECT","CC.HQ.BIAS","CC.HQ.RMSE","CC.HQ.COVERAGE","CC.HQ.CORRECT","CC.MSC.BIC.BIAS","CC.MSC.BIC.RMSE","CC.MSC.BIC.COVERAGE","CC.MSC.BIC.CORRECT","CC.MSC.AIC.BIAS","CC.MSC.AIC.RMSE","CC.MSC.AIC.COVERAGE","CC.MSC.AIC.CORRECT","CC.MSC.HQ.BIAS","CC.MSC.HQ.RMSE","CC.MSC.HQ.COVERAGE","CC.MSC.HQ.CORRECT","J.90.BIAS","J.90.RMSE","J.90.COVERAGE","J.90.CORRECT","J.95.BIAS","J.95.RMSE","J.95.COVERAGE","J.95.CORRECT"
0,0,0.637397148857959,0.781025801211195,0.9777,0.9795,0.34633872229428,0.63326235975093,0.9771,0.774,0.333304816193282,0.699144008353758,0.9751,0.9211,0.321603007573133,0.743492100082299,0.9741,0.7826,0.3260698022708,0.726216379887144,0.9748,0.8567,0.317611278333878,0.764367169360335,0.9778,0.0627,0.32785915247494,0.745236199463455,0.9771,0.1755,0.322199501526967,0.753024238128338,0.9777,0.1133,0.314083266217509,0.771496321587968,0.9774,0.0546,0.314804358971617,0.775776165265417,0.976,0.1298,0.315057835367763,0.7759981563701,0.9769,0.0908,0.336207634532328,0.666212330551734,0.9755,0.8801,0.341746678417643,0.648967709570845,0.9764,0.9346
0.1,0,0.609963654775144,0.756338254700103,0.9782,0.9853,0.331735362516179,0.611163466306884,0.98,0.7842,0.317911626696005,0.675304481312067,0.977,0.9127,0.316872911369667,0.715552344154805,0.9767,0.7702,0.317006545352935,0.696527862360396,0.9769,0.8431,0.326626496282059,0.731148201347279,0.983,0.1203,0.329126810066322,0.701105323504216,0.9819,0.2756,0.329408239145422,0.714700412091511,0.9828,0.1997,0.324408915816317,0.743703163901241,0.9823,0.1083,0.322873247194633,0.742747264512296,0.9797,0.206,0.323788494387293,0.740081970971681,0.9811,0.1642,0.319596935233,0.6527231045589,0.9774,0.8676,0.320035238457286,0.634295260644352,0.9778,0.9276
0.2,0,0.510693660701176,0.760640920844072,0.9615,0.9809,0.267121857031162,0.540616732153383,0.9641,0.7946,0.244312080304739,0.641485211964162,0.9597,0.895,0.259766757445635,0.699076554250642,0.9636,0.7394,0.253001115108497,0.6796241668376,0.9613,0.816,0.284106968783361,0.663241036018913,0.9723,0.2932,0.262593659988889,0.600540335091751,0.9672,0.4974,0.272783300035598,0.628152750971529,0.9694,0.4089,0.283718278635937,0.724091442215488,0.9714,0.2599,0.274673030177751,0.724063906706407,0.9679,0.3672,0.27843949589229,0.72505759494053,0.9688,0.3316,0.247613490219752,0.579959080251906,0.9613,0.8629,0.242009880971938,0.555462689100611,0.9609,0.9248
0.3,0,0.405348300528512,0.77313912863642,0.9517,0.9847,0.23309159689936,0.484846251001451,0.9586,0.7996,0.201694419516322,0.605605543785415,0.9544,0.8818,0.230096430159657,0.68798841191936,0.9581,0.7217,0.217436267362837,0.646206595137748,0.9566,0.8036,0.224863347144286,0.541033983293365,0.9627,0.5452,0.19253740310042,0.466335648587271,0.9578,0.7422,0.206443258929101,0.507032336123444,0.9598,0.662,0.24775402159557,0.66686274240965,0.9628,0.4823,0.246500350895446,0.701810759962703,0.9624,0.5398,0.245076902308921,0.679373671924566,0.962,0.5327,0.196134697379749,0.53229284679786,0.9554,0.8591,0.180094237594274,0.487470206429254,0.9526,0.9213
0.4,0,0.333120925770211,0.774347606753021,0.9421,0.9846,0.2088298346504,0.457291176837489,0.9506,0.7941,0.168833508950641,0.572902240235171,0.9476,0.8667,0.201710321428232,0.689241386590873,0.9525,0.6962,0.185617451230354,0.642040703262551,0.9506,0.7812,0.158396872557191,0.435374702838673,0.9555,0.78,0.13144789290031,0.368674350719095,0.9495,0.8999,0.141469827872697,0.39637434669662,0.953,0.857,0.202205401651397,0.608527853732275,0.9533,0.6813,0.212719327936639,0.69228837375117,0.955,0.632,0.204196996834496,0.657349308772986,0.9533,0.6765,0.162303765748123,0.513594943884665,0.9494,0.846,0.143165888846455,0.446933211451045,0.9481,0.911
0.5,0,0.273518762863034,0.714693132541329,0.9341,0.9853,0.182109832986508,0.427590597694623,0.9415,0.8001,0.1334027301462,0.527751178940543,0.9393,0.8686,0.175825152390081,0.638037561908842,0.9449,0.7023,0.157550603521224,0.598702305642213,0.9429,0.7872,0.0968583120061706,0.321888467688638,0.9433,0.9137,0.0783988660170426,0.285348503905598,0.9365,0.9722,0.083812737689863,0.296609979871424,0.9385,0.9549,0.151081053688642,0.5353036194192,0.9414,0.7984,0.179309180749328,0.638654343756692,0.9449,0.6847,0.165000518257149,0.601046240532221,0.9434,0.7548,0.126092781129339,0.460780242672509,0.9421,0.854,0.10819744050141,0.398496578403644,0.9395,0.9161
0.6,0,0.229407141152466,0.678636563259726,0.9364,0.9879,0.168251854370875,0.401418069156498,0.9337,0.8039,0.127165839622387,0.490976440910809,0.9366,0.8609,0.167347172306999,0.599677863048049,0.9379,0.6976,0.149505424034198,0.554992168895873,0.9385,0.78,0.0646157944825204,0.24172473602011,0.9387,0.9752,0.0596610650738164,0.232357984768452,0.9377,0.9926,0.0610227115646639,0.235130700666244,0.9377,0.9872,0.13265424843389,0.494653487557362,0.9378,0.841,0.168720712588868,0.599892438652083,0.9373,0.6939,0.151947117154771,0.556126760431656,0.9379,0.7712,0.119805637892276,0.431218306545565,0.9401,0.8463,0.0958657850197302,0.37212239924174,0.937,0.9139
0.7,0,0.200032130859417,0.666413251901769,0.932,0.9897,0.148261934671486,0.371340236773657,0.9269,0.8092,0.103531220149053,0.486325631358718,0.932,0.8627,0.150511505794432,0.590541456571283,0.932,0.6968,0.127390866841273,0.548929524353363,0.9321,0.7798,0.0435505124760998,0.205540346781525,0.9326,0.9931,0.0416437520904174,0.20181021457965,0.9325,0.9982,0.0419151858553869,0.202063806446761,0.9323,0.9971,0.104983738716209,0.487104077376326,0.9318,0.8578,0.150860064373762,0.590624057687167,0.932,0.6957,0.127952616096658,0.549038963378975,0.932,0.7778,0.097255948045351,0.392670598407389,0.9343,0.8533,0.0740814348631471,0.327438828539804,0.9341,0.9203
0.8,0,0.173271715871148,0.645870038249873,0.9391,0.99,0.137348635857214,0.353781539263533,0.9197,0.8162,0.107398199857283,0.456982188851861,0.9303,0.8645,0.1525674934148,0.566515339772413,0.9172,0.6931,0.1343206292253,0.52374784492162,0.9215,0.7777,0.0303514874536525,0.174710238036936,0.9391,0.9989,0.0297904744179704,0.173958129433436,0.9392,0.9998,0.0300318430370532,0.174741908612917,0.9391,0.9995,0.10756497132987,0.457148888969319,0.9298,0.8639,0.152464247501955,0.566722381702923,0.9173,0.693,0.134320771356588,0.524012726007269,0.9215,0.7774,0.0927225877785533,0.385568266889039,0.9354,0.8574,0.0666904809554381,0.312695418661622,0.9389,0.9221
0.9,0,0.156909725983963,0.679146000322907,0.9355,0.9897,0.123688684559527,0.33160431597139,0.9125,0.8284,0.0945312821387084,0.506222777935194,0.9264,0.8649,0.138149786598116,0.599675246890759,0.912,0.6919,0.119621977431319,0.566278790283483,0.9187,0.7781,0.0267343205976037,0.156912804685352,0.9355,0.9998,0.0267033552284829,0.156909725983963,0.9355,1,0.0267033552284829,0.156909725983963,0.9355,1,0.0945622475078292,0.506223731808555,0.9264,0.8647,0.138149786598116,0.599675246890759,0.912,0.6919,0.119621977431319,0.566278790283483,0.9187,0.7781,0.083740527123417,0.371599961424907,0.9306,0.8508,0.0630298746265623,0.30766280618708,0.9343,0.9172
