"relevance.w","endog.w","RMSE","RMSE1","COVERAGE","COVERAGE1","FMSC.BIAS","FMSC.RMSE","FMSC.COVERAGE","FMSC.CORRECT","GMM.BIC.BIAS","GMM.BIC.RMSE","GMM.BIC.COVERAGE","GMM.BIC.CORRECT","GMM.AIC.BIAS","GMM.AIC.RMSE","GMM.AIC.COVERAGE","GMM.AIC.CORRECT","GMM.HQ.BIAS","GMM.HQ.RMSE","GMM.HQ.COVERAGE","GMM.HQ.CORRECT","CC.BIC.BIAS","CC.BIC.RMSE","CC.BIC.COVERAGE","CC.BIC.CORRECT","CC.AIC.BIAS","CC.AIC.RMSE","CC.AIC.COVERAGE","CC.AIC.CORRECT","CC.HQ.BIAS","CC.HQ.RMSE","CC.HQ.COVERAGE","CC.HQ.CORRECT","CC.MSC.BIC.BIAS","CC.MSC.BIC.RMSE","CC.MSC.BIC.COVERAGE","CC.MSC.BIC.CORRECT","CC.MSC.AIC.BIAS","CC.MSC.AIC.RMSE","CC.MSC.AIC.COVERAGE","CC.MSC.AIC.CORRECT","CC.MSC.HQ.BIAS","CC.MSC.HQ.RMSE","CC.MSC.HQ.COVERAGE","CC.MSC.HQ.CORRECT","J.90.BIAS","J.90.RMSE","J.90.COVERAGE","J.90.CORRECT","J.95.BIAS","J.95.RMSE","J.95.COVERAGE","J.95.CORRECT"
0,0,0.786283112809446,1.01959170647315,0.9951,0.9972,0.496399163595471,0.77530324146695,0.9954,0.8201,0.496643422457469,0.844438813356712,0.9949,0.9608,0.49536874506454,0.922331415917556,0.9948,0.8248,0.494452898497775,0.885223103772672,0.9948,0.9085,0.491771563828444,1.00911948220658,0.9967,0.0336,0.491570757506222,0.957198423047869,0.9958,0.1704,0.490122598603653,0.978418460610511,0.9962,0.087,0.4914499087512,1.0148736618179,0.9967,0.0314,0.492256598604349,1.0047425649521,0.9956,0.1328,0.49278645728883,1.00887680544347,0.996,0.0748,0.493834612790464,0.816974957304852,0.9949,0.9205,0.493894647073213,0.801864726461655,0.9951,0.9629
0.1,0,0.678738664271404,0.992151686934683,0.9914,0.9972,0.425073550206061,0.697400448424983,0.9922,0.8195,0.407521374518345,0.767692758090521,0.9916,0.9395,0.4408555719618,0.908428405736057,0.9922,0.7818,0.420414198905432,0.851918682070927,0.9918,0.874,0.467700723131401,0.933761853262812,0.9941,0.1365,0.438969238393942,0.836193961686433,0.9929,0.3589,0.454704258133584,0.885653898266295,0.9929,0.2361,0.475918586090844,0.953371191919611,0.9938,0.125,0.468924872968356,0.951074383027427,0.9933,0.2709,0.471179952399179,0.94848605205191,0.9926,0.201,0.409272951568308,0.743872368899406,0.9916,0.9011,0.398981751681359,0.716900957726648,0.9915,0.95
0.2,0,0.53845869377495,0.996008859515207,0.9655,0.9968,0.310863847843015,0.631518181121303,0.9768,0.8103,0.269341473692157,0.708074038539902,0.9713,0.9128,0.349048960859076,0.876163664471869,0.9772,0.7211,0.312801763014249,0.804887314465755,0.977,0.8278,0.354542497559552,0.814370214027758,0.9809,0.4426,0.274317664783514,0.680899155521399,0.9766,0.7107,0.309291497145341,0.737218511667135,0.9814,0.5881,0.380596381398637,0.878509086003522,0.9782,0.4047,0.38092306016892,0.915434349655895,0.977,0.514,0.370865345633666,0.886232187555245,0.9765,0.4889,0.265691453818708,0.677435189140387,0.971,0.882,0.242831671852337,0.6252989124633,0.9688,0.935
0.3,0,0.339026939598942,0.942123806283309,0.9503,0.9972,0.261609777704399,0.535856905651104,0.9657,0.7926,0.210200025814202,0.6297389272437,0.9627,0.896,0.311669890022089,0.811876801242694,0.9599,0.7038,0.263462609568797,0.734284083477762,0.9654,0.8079,0.198293296936876,0.509311368768169,0.9713,0.7911,0.134909136553363,0.384628248111646,0.957,0.9355,0.157584946692393,0.429334894447386,0.9641,0.8814,0.275176038500541,0.69823622755642,0.9673,0.7131,0.322740553547425,0.82040067900167,0.9569,0.6627,0.291538846014586,0.75845344854805,0.9637,0.7172,0.204547306172097,0.580183846939455,0.9634,0.8704,0.168916155386533,0.503649847020629,0.9587,0.9254
0.4,0,0.254337125869951,0.909657886433715,0.9397,0.9971,0.234208960287745,0.509824415647973,0.942,0.7817,0.164520381899755,0.575599905966379,0.9493,0.893,0.275610434795509,0.799110409891551,0.9293,0.6941,0.220063466778557,0.688887192550563,0.9449,0.801,0.0841767786604672,0.29399846085515,0.9485,0.9564,0.0660759432007817,0.256869002248109,0.9423,0.9913,0.0711244596900352,0.267910567210865,0.9448,0.981,0.180647041669699,0.584459661665444,0.9489,0.8564,0.277998800234898,0.798302075124266,0.9269,0.6888,0.226498830280982,0.690840564518889,0.9437,0.7864,0.1618599470631,0.515366719427349,0.9513,0.873,0.120976735348118,0.438053814819497,0.9488,0.9288
0.5,0,0.201456362753202,0.826994692597986,0.9441,0.9964,0.20476882184191,0.462598124838224,0.9169,0.7881,0.129571699919145,0.506797882607695,0.9401,0.8975,0.241872370916834,0.703365836017687,0.8894,0.6981,0.189148418731863,0.616820268182201,0.9249,0.8086,0.0399877264994423,0.206932746688553,0.9447,0.9963,0.0375231100928608,0.20126411630435,0.9442,0.9999,0.0380988818531252,0.202865969671068,0.9444,0.9993,0.131393076546559,0.507846245705872,0.94,0.8944,0.241940819496812,0.703310795378672,0.8895,0.698,0.189692156335743,0.617232198883147,0.9246,0.8081,0.131535903274329,0.472622535327617,0.9422,0.8725,0.0885172127765331,0.383123660416343,0.9452,0.9316
0.6,0,0.16740807367749,0.831779606980284,0.9441,0.9968,0.187163374581308,0.441045832180225,0.8936,0.8007,0.126437132262999,0.52929237104584,0.9302,0.8979,0.225882844118778,0.727614680192952,0.8485,0.7008,0.180005014808412,0.63017952561238,0.8951,0.8099,0.027564607695965,0.167524844338517,0.9442,0.9999,0.0275095132589024,0.16740807367749,0.9441,1,0.0275095132589024,0.16740807367749,0.9441,1,0.126492226700062,0.52932931460045,0.9301,0.8978,0.225882844118778,0.727614680192952,0.8485,0.7008,0.180005014808412,0.63017952561238,0.8951,0.8099,0.121762938420252,0.469183383029254,0.9324,0.8732,0.0824942803101497,0.376306396098522,0.9442,0.9345
0.7,0,0.145249407023716,0.804157476791022,0.9386,0.9971,0.169958444584897,0.412640599545331,0.8616,0.8086,0.113227211588202,0.48392664643593,0.9127,0.8935,0.212925974040634,0.707020603088521,0.8031,0.6958,0.161568143785212,0.596778108947372,0.8684,0.8047,0.0203464142341798,0.145249407023716,0.9386,1,0.0203464142341798,0.145249407023716,0.9386,1,0.0203464142341798,0.145249407023716,0.9386,1,0.113227211588202,0.48392664643593,0.9127,0.8935,0.212925974040634,0.707020603088521,0.8031,0.6958,0.161568143785212,0.596778108947372,0.8684,0.8047,0.110485008491797,0.437109874791185,0.9166,0.8737,0.0721888625306814,0.348481934131612,0.9367,0.9336
0.8,0,0.126065801269987,0.765921263259231,0.9403,0.9973,0.147847584009271,0.377019351742179,0.8554,0.8166,0.0936927456299241,0.495085802129204,0.9125,0.9011,0.18487908383315,0.670399671188974,0.8035,0.6987,0.14383908854695,0.600257735619309,0.8584,0.8084,0.0121708809864948,0.126065801269987,0.9403,1,0.0121708809864948,0.126065801269987,0.9403,1,0.0121708809864948,0.126065801269987,0.9403,1,0.0936927456299241,0.495085802129204,0.9125,0.9011,0.18487908383315,0.670399671188974,0.8035,0.6987,0.14383908854695,0.600257735619309,0.8584,0.8084,0.0892775258668578,0.414530712228873,0.917,0.8774,0.0582590617963477,0.313138770303052,0.9357,0.9324
0.9,0,0.112375566103357,0.723638751033792,0.943,0.9963,0.128630893506105,0.345019724736363,0.8503,0.8354,0.0900074961669352,0.466825854228535,0.9018,0.8988,0.171048492834583,0.637840794381177,0.7771,0.7025,0.134264519607029,0.570003048759061,0.8382,0.8117,0.0118675618951363,0.112375566103357,0.943,1,0.0118675618951363,0.112375566103357,0.943,1,0.0118675618951363,0.112375566103357,0.943,1,0.0900074961669352,0.466825854228535,0.9018,0.8988,0.171048492834583,0.637840794381177,0.7771,0.7025,0.134264519607029,0.570003048759061,0.8382,0.8117,0.0868006988949794,0.396553052306922,0.9071,0.8745,0.0558682269173697,0.299841421080416,0.932,0.9352
