"relevance.w","endog.w","RMSE","RMSE1","COVERAGE","COVERAGE1","FMSC.BIAS","FMSC.RMSE","FMSC.COVERAGE","FMSC.CORRECT","GMM.BIC.BIAS","GMM.BIC.RMSE","GMM.BIC.COVERAGE","GMM.BIC.CORRECT","GMM.AIC.BIAS","GMM.AIC.RMSE","GMM.AIC.COVERAGE","GMM.AIC.CORRECT","GMM.HQ.BIAS","GMM.HQ.RMSE","GMM.HQ.COVERAGE","GMM.HQ.CORRECT","CC.BIC.BIAS","CC.BIC.RMSE","CC.BIC.COVERAGE","CC.BIC.CORRECT","CC.AIC.BIAS","CC.AIC.RMSE","CC.AIC.COVERAGE","CC.AIC.CORRECT","CC.HQ.BIAS","CC.HQ.RMSE","CC.HQ.COVERAGE","CC.HQ.CORRECT","CC.MSC.BIC.BIAS","CC.MSC.BIC.RMSE","CC.MSC.BIC.COVERAGE","CC.MSC.BIC.CORRECT","CC.MSC.AIC.BIAS","CC.MSC.AIC.RMSE","CC.MSC.AIC.COVERAGE","CC.MSC.AIC.CORRECT","CC.MSC.HQ.BIAS","CC.MSC.HQ.RMSE","CC.MSC.HQ.COVERAGE","CC.MSC.HQ.CORRECT","J.90.BIAS","J.90.RMSE","J.90.COVERAGE","J.90.CORRECT","J.95.BIAS","J.95.RMSE","J.95.COVERAGE","J.95.CORRECT"
0,0,0.258359136286024,0.270068819863102,0.9534,0.9498,0.0578935826710696,0.257740400186609,0.9535,0.7945,0.0605968209820918,0.26015302997956,0.9522,0.9839,0.0454596258520812,0.264992951626698,0.9495,0.8339,0.0538232640942137,0.26225849234598,0.9507,0.938,0.0356949024991851,0.270155157319255,0.9494,0.0142,0.0489451817947435,0.26773212540687,0.9496,0.1621,0.0409791900381767,0.269188452836718,0.9488,0.058,0.0350211430962598,0.270400786966368,0.9492,0.0129,0.0380485164518768,0.270374137853597,0.9472,0.117,0.0373472758137312,0.270739926107888,0.9483,0.0474,0.0555924599123913,0.259354750838078,0.9516,0.8914,0.0589443760281819,0.258868380099603,0.9527,0.942
0.1,0,0.224140200201829,0.280201025590414,0.953,0.9503,0.0550170483747232,0.239426930150104,0.9488,0.8203,0.0450690913161886,0.239421732278307,0.9489,0.9811,0.0339056916999584,0.261865902848319,0.938,0.8322,0.0396986246803645,0.249335104343887,0.9442,0.9346,0.0590212113803837,0.247250124338404,0.9534,0.4023,0.0557187082999624,0.2257354201526,0.9538,0.7907,0.0593969251967334,0.231675229530923,0.9548,0.626,0.0540188644215292,0.259491377656296,0.9501,0.3944,0.0373755536681871,0.261728165319653,0.9405,0.6644,0.0475893414002561,0.25373220756934,0.9475,0.588,0.0451548804441208,0.245091200899146,0.9476,0.8868,0.0472098677815995,0.238790171762886,0.9482,0.9407
0.2,0,0.170400913013438,0.272070044154472,0.9495,0.9476,0.0477037917814607,0.22198557201372,0.9351,0.8356,0.0242262966239842,0.191609166018023,0.9426,0.9808,0.0204102327051455,0.23867992450956,0.922,0.8265,0.0224743386322752,0.212389593944631,0.9338,0.9351,0.0299900003373101,0.171163881359148,0.9508,0.9745,0.0273569828346632,0.170356038983486,0.9496,0.9984,0.028009036742128,0.170017839197624,0.9495,0.993,0.026823015917919,0.192101116468722,0.9427,0.9562,0.020479831390849,0.238634823880372,0.9222,0.8254,0.0230242468802483,0.211962503644185,0.9342,0.9295,0.0283757291406039,0.206668294279954,0.9369,0.8897,0.0274316226841852,0.195308535341862,0.9405,0.9422
0.3,0,0.12967080740111,0.272024058889277,0.9499,0.9539,0.0401880632486579,0.204547516956168,0.9286,0.8462,0.0131041271245752,0.162519796948563,0.9402,0.9798,0.0091589096509238,0.22831765683533,0.9139,0.8334,0.00959569895392096,0.193855453777725,0.9267,0.9332,0.0151235168483233,0.12967080740111,0.9499,1,0.0151235168483233,0.12967080740111,0.9499,1,0.0151235168483233,0.12967080740111,0.9499,1,0.0131041271245752,0.162519796948563,0.9402,0.9798,0.0091589096509238,0.22831765683533,0.9139,0.8334,0.00959569895392096,0.193855453777725,0.9267,0.9332,0.0203396634027716,0.18478026553968,0.9367,0.8947,0.0176731178852315,0.169118023684102,0.9399,0.9442
0.4,0,0.103125013041428,0.271599741346154,0.9475,0.9557,0.0436770869484113,0.195214450738987,0.919,0.8427,0.0111907993130353,0.134584665019732,0.9395,0.9835,0.00978298345012577,0.223166716150855,0.9068,0.8241,0.00984033425360172,0.180129192205273,0.9224,0.9344,0.0117524266083205,0.103125013041428,0.9475,1,0.0117524266083205,0.103125013041428,0.9475,1,0.0117524266083205,0.103125013041428,0.9475,1,0.0111907993130353,0.134584665019732,0.9395,0.9835,0.00978298345012577,0.223166716150855,0.9068,0.8241,0.00984033425360172,0.180129192205273,0.9224,0.9344,0.0202057274917286,0.164510215501823,0.9324,0.8902,0.0172330452549827,0.140609113467886,0.9373,0.943
0.5,0,0.0855570632415903,0.276168858219918,0.946,0.9528,0.0395534804785924,0.195415470944374,0.9108,0.8393,0.00528018280287731,0.131392049748485,0.9354,0.9812,0.00324951078959504,0.223269503527422,0.8996,0.8254,0.00262410889845909,0.182591690418153,0.9138,0.9311,0.00712289383559613,0.0855570632415903,0.946,1,0.00712289383559613,0.0855570632415903,0.946,1,0.00712289383559613,0.0855570632415903,0.946,1,0.00528018280287731,0.131392049748485,0.9354,0.9812,0.00324951078959504,0.223269503527422,0.8996,0.8254,0.00262410889845909,0.182591690418153,0.9138,0.9311,0.0154687185716153,0.166453327088577,0.926,0.8956,0.012444090757447,0.140945324870623,0.9332,0.9447
0.6,0,0.0717185718664343,0.275468060379208,0.9486,0.9549,0.0438568143893567,0.185552254880999,0.9025,0.8444,0.00385717425850373,0.133322979146663,0.9382,0.9816,0.00856087881920605,0.220497713546901,0.9062,0.8222,0.00668809790105277,0.178216665038443,0.9172,0.9301,0.00510907415541145,0.0717185718664343,0.9486,1,0.00510907415541145,0.0717185718664343,0.9486,1,0.00510907415541145,0.0717185718664343,0.9486,1,0.00385717425850373,0.133322979146663,0.9382,0.9816,0.00856087881920605,0.220497713546901,0.9062,0.8222,0.00668809790105277,0.178216665038443,0.9172,0.9301,0.0134446359302345,0.166349946341397,0.9266,0.8995,0.00945434609495381,0.14015429405064,0.9357,0.9495
0.7,0,0.0620336574152143,0.276610647088869,0.95,0.9607,0.0399266294573341,0.181749607824973,0.9006,0.8476,0.0033209231258571,0.121939953933543,0.9386,0.9802,0.00436524542638157,0.222916013141524,0.9062,0.8153,0.00454149313660409,0.17590689148304,0.9198,0.9292,0.00437277830256559,0.0620336574152143,0.95,1,0.00437277830256559,0.0620336574152143,0.95,1,0.00437277830256559,0.0620336574152143,0.95,1,0.0033209231258571,0.121939953933543,0.9386,0.9802,0.00436524542638157,0.222916013141524,0.9062,0.8153,0.00454149313660409,0.17590689148304,0.9198,0.9292,0.0130385373057922,0.155787220517232,0.9289,0.8967,0.00997050390327191,0.130164244640309,0.9375,0.948
0.8,0,0.0556770309866983,0.279666032760011,0.9434,0.9601,0.0411523551324798,0.184632647944772,0.8766,0.843,0.00285724375908141,0.140627464564869,0.9306,0.9771,0.00916051142337069,0.228361695101043,0.9021,0.8162,0.00499101797873763,0.185390660992696,0.9114,0.9272,0.00203414740408005,0.0556770309866983,0.9434,1,0.00203414740408005,0.0556770309866983,0.9434,1,0.00203414740408005,0.0556770309866983,0.9434,1,0.00285724375908141,0.140627464564869,0.9306,0.9771,0.00916051142337069,0.228361695101043,0.9021,0.8162,0.00499101797873763,0.185390660992696,0.9114,0.9272,0.0134895385565876,0.173048225458848,0.9198,0.8887,0.00787811653859965,0.142979871847096,0.9292,0.9441
0.9,0,0.0485281340669414,0.279157790875211,0.9513,0.9685,0.0443035677612183,0.179861208986992,0.8693,0.8472,0.00448681107137733,0.116054838020098,0.9425,0.9814,0.014088207147103,0.224140445150037,0.9153,0.8111,0.00732225126830595,0.177289841716024,0.9237,0.9269,0.00326623492874321,0.0485281340669414,0.9513,1,0.00326623492874321,0.0485281340669414,0.9513,1,0.00326623492874321,0.0485281340669414,0.9513,1,0.00448681107137733,0.116054838020098,0.9425,0.9814,0.014088207147103,0.224140445150037,0.9153,0.8111,0.00732225126830595,0.177289841716024,0.9237,0.9269,0.0153030480106519,0.153053708508142,0.9284,0.8943,0.00922353562724767,0.124030448232651,0.9398,0.9499
