"relevance.w","endog.w","RMSE","RMSE1","COVERAGE","COVERAGE1","FMSC.BIAS","FMSC.RMSE","FMSC.COVERAGE","FMSC.CORRECT","GMM.BIC.BIAS","GMM.BIC.RMSE","GMM.BIC.COVERAGE","GMM.BIC.CORRECT","GMM.AIC.BIAS","GMM.AIC.RMSE","GMM.AIC.COVERAGE","GMM.AIC.CORRECT","GMM.HQ.BIAS","GMM.HQ.RMSE","GMM.HQ.COVERAGE","GMM.HQ.CORRECT","CC.BIC.BIAS","CC.BIC.RMSE","CC.BIC.COVERAGE","CC.BIC.CORRECT","CC.AIC.BIAS","CC.AIC.RMSE","CC.AIC.COVERAGE","CC.AIC.CORRECT","CC.HQ.BIAS","CC.HQ.RMSE","CC.HQ.COVERAGE","CC.HQ.CORRECT","CC.MSC.BIC.BIAS","CC.MSC.BIC.RMSE","CC.MSC.BIC.COVERAGE","CC.MSC.BIC.CORRECT","CC.MSC.AIC.BIAS","CC.MSC.AIC.RMSE","CC.MSC.AIC.COVERAGE","CC.MSC.AIC.CORRECT","CC.MSC.HQ.BIAS","CC.MSC.HQ.RMSE","CC.MSC.HQ.COVERAGE","CC.MSC.HQ.CORRECT","J.90.BIAS","J.90.RMSE","J.90.COVERAGE","J.90.CORRECT","J.95.BIAS","J.95.RMSE","J.95.COVERAGE","J.95.CORRECT"
0,0,0.766191066218799,0.993240246453839,0.9982,0.9988,0.476678424428057,0.753638587622217,0.9983,0.8397,0.473579077724347,0.792951019042528,0.9981,0.9877,0.46923076021318,0.887172073524619,0.9978,0.8491,0.471491872117458,0.835397402164155,0.9981,0.9488,0.46908393334592,0.990191668692999,0.9988,0.0142,0.470640245148942,0.945935447689567,0.9981,0.1621,0.471059202160227,0.976906012742825,0.9982,0.058,0.468795391272675,0.990594933793204,0.9988,0.0137,0.466572121250765,0.9797604364791,0.998,0.1292,0.468951622496082,0.985561232612239,0.9983,0.0524,0.47253000604145,0.796783241689965,0.9981,0.939,0.475637609310144,0.784847095429699,0.9981,0.9726
0.1,0,0.42919037941918,1.03868394363833,0.971,0.9989,0.299893198936037,0.563544036078191,0.9852,0.8082,0.227860724674304,0.684061729906099,0.977,0.9551,0.349896170414845,0.923631387912023,0.9866,0.7384,0.281584484781764,0.808237772218937,0.984,0.8781,0.377729245529524,0.850427555445524,0.9864,0.4023,0.24072473463616,0.543775000854899,0.9838,0.7907,0.30481161284337,0.757082755627017,0.9887,0.626,0.395005104569172,0.886791550060129,0.9833,0.3855,0.377236730920337,0.942932743190607,0.9849,0.5901,0.365107840585624,0.894134586221312,0.9863,0.553,0.253207539089207,0.712925607406163,0.9816,0.887,0.217968103291122,0.530919035452269,0.9758,0.9416
0.2,0,0.223887747731344,0.912718418852069,0.9544,0.999,0.243789530568477,0.530335300108728,0.9344,0.7775,0.1058647635776,0.456091046896124,0.9547,0.9499,0.275746754646831,0.778636904522107,0.91,0.7196,0.184217925085138,0.634734573003386,0.95,0.8621,0.0643672883776458,0.255208967211037,0.9601,0.9745,0.0495971721283623,0.226382299549775,0.9549,0.9984,0.0530703073980449,0.23033737715545,0.9556,0.993,0.11909658723877,0.466384848327781,0.9552,0.9265,0.276139864060069,0.778635679564183,0.9096,0.7186,0.186829698536099,0.634988777149333,0.9494,0.8571,0.146329536455973,0.510431693149803,0.9566,0.8843,0.107378877918629,0.424124719542275,0.9542,0.9375
0.3,0,0.149074122948595,0.906299900303625,0.9488,0.9989,0.220379305328266,0.497787147499073,0.8189,0.7816,0.0787497566858372,0.418740833172592,0.9446,0.9551,0.249100403774915,0.761102206033991,0.7569,0.7265,0.158341702763,0.609089784802883,0.8968,0.8696,0.0214215667329668,0.149074122948595,0.9488,1,0.0214215667329668,0.149074122948595,0.9488,1,0.0214215667329668,0.149074122948595,0.9488,1,0.0787497566858372,0.418740833172592,0.9446,0.9551,0.249100403774915,0.761102206033991,0.7569,0.7265,0.158341702763,0.609089784802883,0.8968,0.8696,0.118469080966127,0.471201427749455,0.9289,0.8946,0.0783322920914597,0.393281168365869,0.9446,0.9443
0.4,0,0.112735487019532,0.870802675767032,0.9463,0.9987,0.21129044941927,0.478922918574419,0.666,0.786,0.0718575739484388,0.401814030215347,0.927,0.9525,0.238525171289314,0.742859917768773,0.5959,0.7195,0.154386721693213,0.592814320586956,0.7996,0.8615,0.0138145602009902,0.112735487019532,0.9463,1,0.0138145602009902,0.112735487019532,0.9463,1,0.0138145602009902,0.112735487019532,0.9463,1,0.0718575739484388,0.401814030215347,0.927,0.9525,0.238525171289314,0.742859917768773,0.5959,0.7195,0.154386721693213,0.592814320586956,0.7996,0.8615,0.112039072302401,0.458786853332312,0.8774,0.8918,0.0676860414638987,0.340256983850634,0.9308,0.9451
0.5,0,0.0901383134479472,0.970084362756951,0.9477,0.9977,0.189866870658429,0.442984842608888,0.5568,0.7918,0.0649110642152993,0.35899385876216,0.9072,0.9533,0.231488603132541,0.846755447408263,0.4488,0.7217,0.138720033962208,0.73160364737329,0.7336,0.8675,0.00783166008090853,0.0901383134479472,0.9477,1,0.00783166008090853,0.0901383134479472,0.9477,1,0.00783166008090853,0.0901383134479472,0.9477,1,0.0649110642152993,0.35899385876216,0.9072,0.9533,0.231488603132541,0.846755447408263,0.4488,0.7217,0.138720033962208,0.73160364737329,0.7336,0.8675,0.10094057063413,0.419961275220288,0.8416,0.8955,0.063414890319533,0.332804273730392,0.9105,0.9447
0.6,0,0.0745768182625311,0.82343945462662,0.9509,0.9986,0.171619920200614,0.417166507038387,0.4832,0.8063,0.0588877345637549,0.383476767035607,0.8983,0.9548,0.200851516355973,0.704436638033515,0.4133,0.7284,0.129630883214145,0.582046744627417,0.6574,0.8683,0.00552439750736927,0.0745768182625311,0.9509,1,0.00552439750736927,0.0745768182625311,0.9509,1,0.00552439750736927,0.0745768182625311,0.9509,1,0.0588877345637549,0.383476767035607,0.8983,0.9548,0.200851516355973,0.704436638033515,0.4133,0.7284,0.129630883214145,0.582046744627417,0.6574,0.8683,0.0908882696512499,0.427566280202916,0.8155,0.8978,0.0563767160146667,0.343723271168057,0.9045,0.9485
0.7,0,0.0639062188873823,0.811877820447421,0.9499,0.9992,0.152987092588127,0.384238596938323,0.4496,0.8162,0.0507180300689786,0.44740678425468,0.8931,0.9565,0.180192918136555,0.710454739802867,0.3893,0.7314,0.111149126154872,0.598809047280322,0.6515,0.8724,0.00455545429801318,0.0639062188873823,0.9499,1,0.00455545429801318,0.0639062188873823,0.9499,1,0.00455545429801318,0.0639062188873823,0.9499,1,0.0507180300689786,0.44740678425468,0.8931,0.9565,0.180192918136555,0.710454739802867,0.3893,0.7314,0.111149126154872,0.598809047280322,0.6515,0.8724,0.083858768158772,0.486063764939294,0.7841,0.8947,0.0463766027261263,0.403061872160216,0.9048,0.9482
0.8,0,0.05689803691134,0.752512378437259,0.9437,0.9984,0.134253322474346,0.355910885745067,0.4299,0.8284,0.0450519262383997,0.387392710233543,0.8784,0.9557,0.160863620320903,0.644798361503953,0.3816,0.7278,0.101648078096848,0.526382270235674,0.6137,0.8728,0.00194021554193292,0.05689803691134,0.9437,1,0.00194021554193292,0.05689803691134,0.9437,1,0.00194021554193292,0.05689803691134,0.9437,1,0.0450519262383997,0.387392710233543,0.8784,0.9557,0.160863620320903,0.644798361503953,0.3816,0.7278,0.101648078096848,0.526382270235674,0.6137,0.8728,0.0769615618700781,0.427108002440327,0.7543,0.89,0.0462491678194041,0.294095903796638,0.8769,0.9438
0.9,0,0.0494547156518639,0.729950526215371,0.9511,0.9992,0.124084610437697,0.334346561817444,0.4023,0.8415,0.0446978595330798,0.301992807497469,0.8787,0.9586,0.158089800613276,0.631738385451291,0.3336,0.7296,0.0989185540338963,0.507198309242977,0.5686,0.8697,0.00328934149271039,0.0494547156518639,0.9511,1,0.00328934149271039,0.0494547156518639,0.9511,1,0.00328934149271039,0.0494547156518639,0.9511,1,0.0446978595330798,0.301992807497469,0.8787,0.9586,0.158089800613276,0.631738385451291,0.3336,0.7296,0.0989185540338963,0.507198309242977,0.5686,0.8697,0.0726186026115335,0.349914436073728,0.7441,0.8948,0.0417232839005941,0.252794622344843,0.8902,0.9493
1,0,0.0453394632159146,0.66861241649337,0.944,0.9991,0.111291736363962,0.311782122013018,0.3995,0.8458,0.0404615685191265,0.317033539625283,0.8639,0.9577,0.147608927209658,0.577520937335655,0.3208,0.7266,0.0929032629028787,0.454221684904825,0.5282,0.871,0.00164543738457863,0.0453394632159146,0.944,1,0.00164543738457863,0.0453394632159146,0.944,1,0.00164543738457863,0.0453394632159146,0.944,1,0.0404615685191265,0.317033539625283,0.8639,0.9577,0.147608927209658,0.577520937335655,0.3208,0.7266,0.0929032629028787,0.454221684904825,0.5282,0.871,0.0656890454620129,0.354059495893553,0.7324,0.8926,0.0398955199265393,0.285260728177636,0.8698,0.9438
1.1,0,0.0409432502704679,0.675293448647438,0.9459,0.9986,0.096855868184766,0.280430962099205,0.4342,0.8538,0.0366334266464729,0.293040017614681,0.8755,0.9585,0.126799815083297,0.588378937179072,0.3505,0.7264,0.0806273041479782,0.505865493318916,0.5584,0.8725,0.00232135611732058,0.0409432502704679,0.9459,1,0.00232135611732058,0.0409432502704679,0.9459,1,0.00232135611732058,0.0409432502704679,0.9459,1,0.0366334266464729,0.293040017614681,0.8755,0.9585,0.126799815083297,0.588378937179072,0.3505,0.7264,0.0806273041479782,0.505865493318916,0.5584,0.8725,0.0608526291112045,0.327637753993471,0.7302,0.8944,0.0349653340769433,0.25505425979736,0.8833,0.9457
1.2,0,0.0374722003631411,0.612287739289379,0.9473,0.999,0.0887766096600411,0.26459609709407,0.4302,0.8627,0.0342629236412938,0.266165251994504,0.8664,0.9575,0.118974664824427,0.527880291086393,0.34,0.7255,0.0742033375260959,0.412492021670699,0.5596,0.8691,0.00174471363003008,0.0374722003631411,0.9473,1,0.00174471363003008,0.0374722003631411,0.9473,1,0.00174471363003008,0.0374722003631411,0.9473,1,0.0342629236412938,0.266165251994504,0.8664,0.9575,0.118974664824427,0.527880291086393,0.34,0.7255,0.0742033375260959,0.412492021670699,0.5596,0.8691,0.0539689652499509,0.301996176625113,0.7396,0.8952,0.0318773713213635,0.228758295706436,0.8794,0.9471
1.3,0,0.0345370013238187,0.595049043232924,0.949,0.9986,0.0754676636595324,0.23943435964298,0.4851,0.8723,0.0283519047492334,0.269020773529189,0.8821,0.962,0.11030596102139,0.519133439883013,0.338,0.7293,0.0661485708698103,0.411993727702201,0.5801,0.876,0.0013794756522155,0.0345370013238187,0.949,1,0.0013794756522155,0.0345370013238187,0.949,1,0.0013794756522155,0.0345370013238187,0.949,1,0.0283519047492334,0.269020773529189,0.8821,0.962,0.11030596102139,0.519133439883013,0.338,0.7293,0.0661485708698103,0.411993727702201,0.5801,0.876,0.0481181823799627,0.303817631131202,0.7563,0.8946,0.0290881200192004,0.228058423096089,0.88,0.9469
0,0.05,0.853343962922329,0.947111854320244,0.9939,0.9987,0.477440083456769,0.808586769957,0.9953,0.6573,0.475037402492705,0.87581027299717,0.9936,0.9436,0.470907216460648,0.955450218567025,0.9938,0.6883,0.473661208952897,0.912231202085904,0.9935,0.8428,0.472432689530073,0.944404502107998,0.9979,0.0128,0.473593942584207,0.916459892752428,0.9946,0.1539,0.472404605342353,0.935847371336299,0.9958,0.0547,0.472432689530073,0.944404502107998,0.9979,0.0128,0.470295005242148,0.942917836038888,0.9948,0.1132,0.472536484291472,0.94051063384553,0.9958,0.0486,0.47366432614645,0.878231174623277,0.9933,0.8641,0.4747854225041,0.871263796993347,0.9939,0.9256
0.1,0.05,0.611803027770884,0.962242928456484,0.9891,0.9986,0.482426218371446,0.620823077380049,0.9891,0.9181,0.487220587085821,0.673455927244345,0.9887,0.9779,0.473304314355162,0.894939071057383,0.9889,0.7878,0.483490783814515,0.808532817969003,0.988,0.9138,0.478635933813628,0.829925388977908,0.9909,0.3967,0.4871563690332,0.655736381237009,0.9893,0.796,0.484629740484554,0.759940760846835,0.9892,0.6248,0.478751068426825,0.852860923528834,0.9907,0.3865,0.472213764968354,0.906794529842631,0.9894,0.6153,0.482784574481913,0.867325167863236,0.9888,0.5632,0.484417296537182,0.690068499557586,0.9885,0.9186,0.487198192976088,0.651243420048983,0.9888,0.9625
0.2,0.05,0.341544891284924,0.948776948484411,0.9622,0.9987,0.344554794121114,0.480878316054954,0.9635,0.8988,0.300099441795427,0.533972072297365,0.9641,0.9653,0.375563017631816,0.827490227377003,0.9576,0.7531,0.335646464621014,0.698207545363029,0.9642,0.8879,0.279605617606656,0.366313164749901,0.9634,0.9745,0.274668793137162,0.342392821800984,0.9621,0.9988,0.275697513003181,0.346947550213754,0.9622,0.9938,0.305914199208701,0.546172861379683,0.9655,0.941,0.375673028640905,0.827582839720205,0.9576,0.7523,0.336756044557908,0.700415203733974,0.9643,0.882,0.321176081116814,0.575545402675394,0.9638,0.9002,0.300061698441044,0.490932550860779,0.9646,0.9485
0.3,0.05,0.227288681146966,0.930449022033685,0.9556,0.9981,0.292589852104218,0.459657195452701,0.9132,0.8631,0.217858013883411,0.472340342953968,0.9535,0.9602,0.323570778721802,0.809758577883361,0.8826,0.7345,0.273477412877776,0.670799764573713,0.9254,0.8742,0.180755512379411,0.227288681146966,0.9556,1,0.180755512379411,0.227288681146966,0.9556,1,0.180755512379411,0.227288681146966,0.9556,1,0.217858013883411,0.472340342953968,0.9535,0.9602,0.323570778721802,0.809758577883361,0.8826,0.7345,0.273477412877776,0.670799764573713,0.9254,0.8742,0.244501554409482,0.518868176965395,0.946,0.894,0.217931987841732,0.393251090657169,0.9545,0.9471
0.4,0.05,0.168537542630262,0.864840288827695,0.9547,0.9985,0.256779104386665,0.440243069723758,0.8391,0.8548,0.176657879933482,0.420905637871159,0.9408,0.9591,0.29887099010159,0.738764530008342,0.739,0.7365,0.236314745906513,0.612825698958002,0.8716,0.8737,0.131882191584591,0.168537542630262,0.9547,1,0.131882191584591,0.168537542630262,0.9547,1,0.131882191584591,0.168537542630262,0.9547,1,0.176657879933482,0.420905637871159,0.9408,0.9591,0.29887099010159,0.738764530008342,0.739,0.7365,0.236314745906513,0.612825698958002,0.8716,0.8737,0.205200733503484,0.476822065161434,0.9158,0.8936,0.174674571171592,0.363671542835,0.9443,0.9461
0.5,0.05,0.135500840818971,0.833959598935555,0.9502,0.9982,0.227789658094594,0.412352423092433,0.7577,0.8497,0.145852807004312,0.374637908784142,0.9328,0.96,0.262688801672171,0.712671439326553,0.6556,0.73,0.201389250065857,0.57034146374323,0.8339,0.8758,0.105649039601032,0.135500840818971,0.9502,1,0.105649039601032,0.135500840818971,0.9502,1,0.105649039601032,0.135500840818971,0.9502,1,0.145852807004312,0.374637908784142,0.9328,0.96,0.262688801672171,0.712671439326553,0.6556,0.73,0.201389250065857,0.57034146374323,0.8339,0.8758,0.17280536129795,0.427682833207861,0.898,0.8988,0.14487055563277,0.342246331251351,0.9346,0.9491
